name,gender,organization,date,location,type_of_death,attack,role,region,year,staff_freelancer
Humam Najjar (Abu Yazan al-Halabi),Male,Aleppo Today,"April 16, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Humayun Kabir,Male,Janmabhumi,"June 24, 2004",Bangladesh,Murder,Killed,Journalist,All other countries,2004,Staff
Humberto Coronel,Male,Radio Amambay,"September 6, 2022",Paraguay,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Humphrey Jupiter Nkonde,Male,Mission Press,"September 22--26, 2019",Zambia,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Huseyin Deniz,Male,Ozgur Gundem,"August 9, 1992",Turkey,Murder,Killed,Journalist,Middle East,1992,Staff
Hussain Nazari,Male,Rah-E-Farda Radio and Television,"November 17, 2017",Afghanistan,Dangerous Assignment,Killed,Journalist,All other countries,2017,Staff
Hussam Salama,Male,Al-Aqsa,"November 20, 2012",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2012,Staff
Hussam Sarsam,Male,Kurdistan TV,"March 14, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Hussein al-Zubaidi,Male,Al-Ahali,"January 28, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Hussein Ali,Male,Al-Shaabiya,"October 12, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Hussein Khattab,Male,TRT Arabic,"December 12, 2020",Syria,Murder,Killed,Journalist,Middle East,2020,Staff
Ian Subang,Male,Socsargen Today,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Ibrahim Abd al-Qader,Male,"Eye on the Homeland, Raqqa is Being Slaughtered Silently","October 30, 2015",Turkey,Murder,Killed,Journalist,Middle East,2015,Staff
Ibrahim al-Munjar,Male,Sy24,"May 17, 2018",Syria,Murder,Killed,Journalist,Middle East,2018,Staff
Ibrahim Goskel,Male,Freelancer,"July 10, 1993",Bosnia,Dangerous Assignment,Killed,Journalist,All other countries,1993,Freelancer
Ibrahim Mohammad Lafi,Male,Ain Media,"October 7, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Ibrahim Omar,Male,Al Jazeera,"July 11, 2016",Syria,Crossfire,Killed,Journalist,Middle East,2016,Staff
Ibrahim Samura,Male,New Age,"June 6, 2018",Sierra Leone,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Ibrahim Seneid,Male,Al-Bashara,"June 13, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Staff
Igor Aleksandrov,Male,Tor,"July 7, 2001",Ukraine,Murder,Killed,Journalist,All other countries,2001,Staff
Igor Belozyorov,Male,Ostankino State Broadcasting Company,"October 3, 1993",Russia,Dangerous Assignment,Killed,Journalist,All other countries,1993,Staff
Igor Domnikov,Male,Novaya Gazeta,"July 16, 2000",Russia,Murder,Killed,Journalist,All other countries,2000,Staff
Igor Hrushetsky,Male,Freelancer,"May 10, 1996",Ukraine,Murder,Killed,Journalist,All other countries,1996,Freelancer
Igor Kornelyuk,Male,VGTRK,"June 17, 2014",Ukraine,Crossfire,Killed,Journalist,All other countries,2014,Staff
Ihab Mu'd,Male,Al-Sharqiya,"September 13, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008,Staff
Ihor Hudenko,Male,Freelancer,"February 26, 2022",Ukraine,Dangerous Assignment,Killed,Journalist,All other countries,2022,Freelancer
Ihsan al-Buni,Male,Al-Thawra,"July 12, 2012",Syria,Murder,Killed,Journalist,Middle East,2012,Staff
Ikechukwu Onubogu,Male,Anambra Broadcasting Service (ABS),11/12-11/17/2017,Nigeria,Motive Unconfirmed,Killed,Journalist,All other countries,2017,Staff
Ilan Roeh,Male,Israel Radio,"February 28, 1999",Lebanon,Crossfire,Killed,Journalist,Middle East,1999,Staff
Iliyas Hossain,Male,Dainik Bijoy,"October 11, 2020",Bangladesh,Murder,Killed,Journalist,All other countries,2020,Staff
Imad Abu Zahra,Male,Freelancer,"July 12, 2002",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2002,Freelancer
Imran Shaikh,Male,Samaa TV,"January 10, 2013",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2013,Staff
Indika Pathinivasan,Male,Maharaja Television Network,"December 18, 1999",Sri Lanka,Dangerous Assignment,Killed,Journalist,All other countries,1999,Staff
Irshad Mastoi,Male,"Online International News Network, ARY News","August 28, 2014",Pakistan,Murder,Killed,Journalist,All other countries,2014,Staff
Ishmael Jalloh,Male,Freelancer,"June 3, 1997",Sierra Leone,Crossfire,Killed,Journalist,All other countries,1997,Freelancer
Ismael Jaimes,Male,La Opinion,"May 6, 1992",Colombia,Murder,Killed,Journalist,All other countries,1992,Staff
Ismail Amin Ali,Male,Freelancer,"August 7, 2006",Iraq,Murder,Killed,Journalist,Middle East,2006,Freelancer
Israel Gonçalves Silva,Male,Rádio Itaenga FM,"November 10, 2015",Brazil,Murder,Killed,Journalist,All other countries,2015,Staff
Israel Vázquez Rangel,Male,El Salmantino,"November 9, 2020",Mexico,Murder,Killed,Journalist,All other countries,2020,Staff
Issam Abdallah,Male,Reuters,"October 13, 2023",Lebanon,Murder,Killed,Journalist,Middle East,2023,Staff
Issam Obeid,Male,Freelancer,"January 31, 2013",Syria,Crossfire,Killed,Journalist,Middle East,2013,Freelancer
Issam Tillawi,Male,Voice of Palestine,"September 22, 2002",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2002,Staff
Ítalo Eduardo Diniz Barros,Male,Blog Ítalo Diniz,"November 13, 2015",Brazil,Murder,Killed,Journalist,All other countries,2015,Staff
Ivan Darío Pelayo,Male,Llanorámica,"August 17, 1995",Colombia,Murder,Killed,Journalist,All other countries,1995,Staff
Ivan Safronov,Male,Kommersant,"March 2, 2007",Russia,Murder,Killed,Journalist,All other countries,2007,Staff
Ivo Pukanic,Male,Nacional,"October 23, 2008",Croatia,Murder,Killed,Journalist,All other countries,2008,Staff
Ivo Standeker,Male,Mladina,"June 17, 1992",Bosnia,Crossfire,Killed,Journalist,All other countries,1992,Staff
Izzet Kezer,Male,Sabah,"March 23, 1992",Turkey,Dangerous Assignment,Killed,Journalist,Middle East,1992,Staff
Jacinto Romero Flores,Male,Ori Stereo FM,"August 19, 2021",Mexico,Murder,Killed,Journalist,All other countries,2021,Staff
Jagadish Babu,Male,Eenadu Television (E-TV),"November 19, 1997",India,Dangerous Assignment,Killed,Journalist,All other countries,1997,Staff
Jagendra Singh,Male,Freelancer,"June 8, 2015",India,Murder,Killed,Journalist,All other countries,2015,Freelancer
Jaime Castaño Zacarías,Male,Prensa Libre MX,"December 9, 2020",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Jaime Garzón,Male,"Radionet, Caracol Noticias","August 13, 1999",Colombia,Murder,Killed,Journalist,All other countries,1999,Staff
Jaime Rengifo Revero,Male,Olímpica Radio,"April 29, 2003",Colombia,Murder,Killed,Journalist,All other countries,2003,Staff
Jairo Elías Márquez Gallego,Male,El Marqués,"November 20, 1997",Colombia,Murder,Killed,Journalist,All other countries,1997,Staff
Jairo Souza,Male,Rádio Pérola,"June 21, 2018",Brazil,Murder,Killed,Journalist,All other countries,2018,Staff
Jalaa al-Abadi,Male,Nineveh Reporters Network,"July 15, 2015",Iraq,Murder,Killed,Journalist,Middle East,2015,Staff
Jamal Abdul-Nasser Sami,Male,Salaheddin TV,"December 23, 2013",Iraq,Murder,Killed,Journalist,Middle East,2013,Staff
Jamal Al-Faqaawi,Male,Mithaq Media Foundation,"October 25, 2023",Israel and the Occupied Palestinian Territory,Dangerous Assignment,Killed,Journalist,Middle East,2023,Staff
Jamal al-Sharaabi,Male,Al-Masdar,"March 18, 2011",Yemen,Dangerous Assignment,Killed,Journalist,Middle East,2011,Staff
Jamal al-Zubaidi,Male,As-Saffir and Al-Dustour,"February 24, 2007",Iraq,Murder,Killed,Journalist,Middle East,2007,Staff
Jamal Farah Adan,Male,Freelancer,"March 1, 2021",Somalia,Murder,Killed,Journalist,All other countries,2021,Freelancer
Jamal Khalifeh,Male,Freelancer,"April 1, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Freelancer
Jamal Khashoggi,Male,The Washington Post,"October 2, 2018",Saudi Arabia,Murder,Killed,Journalist,Middle East,2018,Staff
Jamal Uddin,Male,Gramer Kagoj,"June 15, 2012",Bangladesh,Murder,Killed,Journalist,All other countries,2012,Staff
James Brolan,Male,CBS,"May 29, 2006",Iraq,Crossfire,Killed,Journalist,Middle East,2006,Staff
James Foley,Male,Freelancer,August 2014,Syria,Murder,Killed,Journalist,Middle East,2014,Freelancer
James Miller,Male,Freelancer,"May 2, 2003",Israel and the Occupied Palestinian Territory,Crossfire,Killed,Journalist,Middle East,2003,Freelancer
James Ogogo,Male,Concord Times,"January 8, 1999",Sierra Leone,Murder,Killed,Journalist,All other countries,1999,Staff
James P. Hunter,Male,"Fort Campbell Courier, U.S. military publications","June 24, 2010",Afghanistan,Crossfire,Killed,Journalist,All other countries,2010,Staff
Jamshed Davliyatmamatov,Male,Khovar Information Agency,"December, 1992",Tajikistan,Murder,Killed,Journalist,All other countries,1992,Staff
Ján Kuciak,Male,Aktuality,"February 21, 2018",Slovakia,Murder,Killed,Journalist,All other countries,2018,Staff
Janullah Hashimzada,Male,Freelancer,"August 24, 2009",Pakistan,Murder,Killed,Journalist,All other countries,2009,Freelancer
Jarosław Ziętara,Male,Gazeta Poznańska,"Disappeared September 1, 1992",Poland,Murder,Killed,Journalist,All other countries,1992,Staff
Jaruek Rangcharoen,Male,Matichon,"September 27, 2008",Thailand,Murder,Killed,Journalist,All other countries,2008,Staff
Jassim al-Batat,Male,Al-Nakhil TV and Radio,"April 25, 2008",Iraq,Murder,Killed,Journalist,Middle East,2008,Staff
Javed Ahmed Mir,Male,Channel 9,"August 13, 2008",India,Dangerous Assignment,Killed,Journalist,All other countries,2008,Staff
Javed Khan,Male,Markaz and DM Digital TV,"July 3, 2007",Pakistan,Dangerous Assignment,Killed,Journalist,All other countries,2007,Staff
Javed Naseer Rind,Male,Daily Tawar,November 2011,Pakistan,Murder,Killed,Journalist,All other countries,2011,Staff
Javier Enrique Rodríguez Valladares,Male,Canal 10,"August 29, 2018",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Javier Valdez Cárdenas,Male,"Ríodoce,La Jornada","May 15, 2017",Mexico,Murder,Killed,Journalist,All other countries,2017,Staff
Jean Cabut (Cabu),Male,Charlie Hebdo,"January 7, 2015",France,Murder,Killed,Journalist,All other countries,2015,Staff
Jean Hélène,Male,Radio France Internationale,"October 21, 2003",Ivory Coast,Murder,Killed,Journalist,All other countries,2003,Staff
Jean Léopold Dominique,Male,Radio Haïti Inter,"April 3, 2000",Haiti,Murder,Killed,Journalist,All other countries,2000,Staff
Jean Saint-Clair Maka Gbossokotto,Male,Anti Infox RCA,"February 23, 2022",Central African Republic,Motive Unconfirmed,Killed,Journalist,All other countries,2022,Staff
Jean-Claude Jumel,Male,TF-1,"June 18, 1993",Somalia,Crossfire,Killed,Journalist,All other countries,1993,Staff
Jean-Jacques Ola Bebe,Male,Unknown,"February 2-3, 2023",Cameroon,Murder,Killed,Journalist,All other countries,2023,Staff
Jean-Léonard Rugambage,Male,Umuvugizi,"June 26, 2010",Rwanda,Murder,Killed,Journalist,All other countries,2010,Staff
Jean-Rémy Badio,Male,Freelancer,"January 19, 2007",Haiti,Murder,Killed,Journalist,All other countries,2007,Freelancer
Jeff German,Male,Las Vegas Review-Journal,"September 2, 2022",USA,Murder,Killed,Journalist,All other countries,2022,Staff
Jefferson Pureza Lopes,Male,Beira Rio FM,"January 17, 2018",Brazil,Murder,Killed,Journalist,All other countries,2018,Staff
"Jenner ""J.C."" Cole",Male,SKY-FM,"January 9, 1999",Sierra Leone,Murder,Killed,Journalist,All other countries,1999,Staff
Jepon Cadagdagon,Male,Saksi News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Jeremy Little,Male,NBC News,"July 6, 2003",Iraq,Crossfire,Killed,Journalist,Middle East,2003,Staff
Jerges Mahmood Mohamad Suleiman,Male,Nineveh TV,"May 31, 2005",Iraq,Murder,Killed,Journalist,Middle East,2005,Staff
Jeroen Oerlemans,Male,Freelancer,"October 2, 2016",Libya,Crossfire,Killed,Journalist,All other countries,2016,Freelancer
Jessé Medina Parra,Male,El Fogonazo,"January 28, 1994",Colombia,Murder,Killed,Journalist,All other countries,1994,Staff
Jesús Abel Bueno León,Male,7 Días,"May 22, 1997",Mexico,Murder,Killed,Journalist,All other countries,1997,Staff
Jesús Alejandro Márquez Jiménez,Male,Orión Informativo,"November 30, 2018 or December 1, 2018",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
Jesús Alfonso Piñuelas,Male,"Zarathustra Press,El Shock de la Noticia","November 2, 2020",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
Jesús Eugenio Ramos Rodríguez,Male,Radio Oye 99.9 FM,"February 9, 2019",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
Jesus Malabanan,Male,"Manila Standard,Manila Times,Bandera","December 8, 2021",Philippines,Murder,Killed,Journalist,All other countries,2021,Staff
Jhoy Duhay,Male,Gold Star Daily,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Jihad Jamal,Male,Freelancer,"November 2, 2016",Syria,Motive Unconfirmed,Killed,Journalist,Middle East,2016,Freelancer
Jimmy Higenyi,Male,United Media Consultants and Trainers,"January 12, 2002",Uganda,Dangerous Assignment,Killed,Journalist,All other countries,2002,Staff
Joao Alberto Ferreira Souto,Male,Jornal do Estado,"February 19, 1994",Brazil,Murder,Killed,Journalist,All other countries,1994,Staff
João Miranda do Carmo,Male,SAD Sem Censura,"July 24, 2016",Brazil,Murder,Killed,Journalist,All other countries,2016,Staff
Joaquin Briones,Male,Remate,"March 13, 2017",Philippines,Murder,Killed,Journalist,All other countries,2017,Staff
Joas Dignos,Male,DXGT Radio,"November 29, 2013",Philippines,Murder,Killed,Journalist,All other countries,2013,Staff
Jobert Bercasio,Male,Balangibog,"September 14, 2020",Philippines,Murder,Killed,Journalist,All other countries,2020,Staff
Jochen Piest,Male,Stern,"January 10, 1995",Russia,Crossfire,Killed,Journalist,All other countries,1995,Staff
Joël Mumbere Musavuli,Male,Radio Télévision Communautaire de Babombi,"August 13, 2021",Democratic Republic of the Congo,Murder,Killed,Journalist,All other countries,2021,Staff
Joel Parcon,Male,Prontiera News,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Joey Llana,Male,Home Radio Legazpi,"July 20, 2018",Philippines,Murder,Killed,Journalist,All other countries,2018,Staff
John Caniban,Male,Periodico Ini,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
John Kituyi,Male,Mirror Weekly,"April 30, 2015",Kenya,Murder,Killed,Journalist,All other countries,2015,Staff
John McNamara,Male,Capital Gazette,"June 28, 2018",USA,Murder,Killed,Journalist,All other countries,2018,Staff
John Schofield,Male,BBC,"August 9, 1995",Croatia,Crossfire,Killed,Journalist,All other countries,1995,Staff
John Wesley Amady,Male,Radio Écoute FM,"January 6, 2022",Haiti,Murder,Killed,Journalist,All other countries,2022,Staff
John Williams Ntwali,Male,"The Chronicles,Pax TV-Ireme News","January 18, 2023",Rwanda,Motive Unconfirmed,Killed,Journalist,All other countries,2023,Staff
Jojo Trajano,Male,Remate,"June 3, 2009",Philippines,Dangerous Assignment,Killed,Journalist,All other countries,2009,Staff
Jolito Evardo,Male,UNTV,"November 23, 2009",Philippines,Murder,Killed,Journalist,All other countries,2009,Staff
Jomaa Al-Ahmad (Abu al-Nour al-Halabi),Male,Shahba Press Agency,"October 27, 2015",Syria,Crossfire,Killed,Journalist,Middle East,2015,Staff
Jordi Pujol,Male,Avui,"May 17, 1992",Bosnia,Crossfire,Killed,Journalist,All other countries,1992,Staff
Jorge Aguirre,Male,Cadena Capriles (El Mundo),"April 5, 2006",Venezuela,Murder,Killed,Journalist,All other countries,2006,Staff
Jorge Celestino Ruiz Vázquez,Male,El Gráfico,"August 2, 2019",Mexico,Murder,Killed,Journalist,All other countries,2019,Staff
Jorge Enrique Urbano Sánchez,Male,Mar Estéreo,"July 8, 2001",Colombia,Murder,Killed,Journalist,All other countries,2001,Staff
Jorge Ibraín Tortoza Cruz,Male,2001,"April 11, 2002",Venezuela,Dangerous Assignment,Killed,Journalist,All other countries,2002,Staff
Jorge Luis Marroquín Sagastume,Male,Sol Chortí,"June 5, 1997",Guatemala,Murder,Killed,Journalist,All other countries,1997,Staff
Jorge Martín Dorantes,Male,El Crucero,"June 6, 1994",Mexico,Murder,Killed,Journalist,All other countries,1994,Staff
Jorge Miguel Armenta Ávalos,Male,"Última Palabra,Medios Obson","May 16, 2020",Mexico,Murder,Killed,Journalist,All other countries,2020,Staff
Jorge Mynor Alegría Armendáriz,Male,Radio Amatique,"September 5, 2001",Guatemala,Murder,Killed,Journalist,All other countries,2001,Staff
Jorge Posas,Male,Canal 45TV,"July 1, 2020",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
José Abelardo Liz,Male,Nación Nasa,"August 13, 2020",Colombia,Dangerous Assignment,Killed,Journalist,All other countries,2020,Staff
José Agustín Silvestre de los Santos,Male,"La Voz de la Verdad, Caña TV","August 2, 2011",Dominican Republic,Murder,Killed,Journalist,All other countries,2011,Staff
José Arita,Male,Puerto Visión,"November 25, 2019",Honduras,Motive Unconfirmed,Killed,Journalist,All other countries,2019,Staff
José Armando Rodríguez Carreón,Male,El Diario de Ciudad Juárez,"November 13, 2008",Mexico,Murder,Killed,Journalist,All other countries,2008,Staff
José Cândido de Amorim Filho,Male,Rádio Alternativa,"July 1, 2005",Brazil,Murder,Killed,Journalist,All other countries,2005,Staff
José Carlos Araújo,Male,Rádio Timbaúba FM,"April 24, 2004",Brazil,Murder,Killed,Journalist,All other countries,2004,Staff
José Carlos Mesquita,Male,TV Ouro Verde,"March 10, 1998",Brazil,Murder,Killed,Journalist,All other countries,1998,Staff
José Carmelo Bislick Acosta,Male,Omega 94.1 FM,"August 17-18, 2020",Venezuela,Motive Unconfirmed,Killed,Journalist,All other countries,2020,Staff
José Couso,Male,Telecinco,"April 8, 2003",Iraq,Crossfire,Killed,Journalist,Middle East,2003,Staff
José Duviel Vásquez Arias,Male,La Voz de la Selva,"July 6, 2001",Colombia,Murder,Killed,Journalist,All other countries,2001,Staff
José Emeterio Rivas,Male,Radio Calor Estéreo,"April 6, 2003",Colombia,Murder,Killed,Journalist,All other countries,2003,Staff
José Everardo Aguilar,Male,Radio Súper and Bolívar Estéreo,"April 29, 2009",Colombia,Murder,Killed,Journalist,All other countries,2009,Staff
José Guadalupe Chan Dzib,Male,Semanario Playa News,"June 29, 2018",Mexico,Motive Unconfirmed,Killed,Journalist,All other countries,2018,Staff
José Luis Cabezas,Male,Noticias,"January 25, 1997",Argentina,Murder,Killed,Journalist,All other countries,1997,Staff
